especie_nombre;raza_nombre;tipo_animal_ganado_nombre
Abejas;Buckfast;Estante
Abejas;Buckfast;Trashumante
Abejas;Desconocido;Estante
Abejas;Desconocido;Trashumante
Abejas;Híbrida;Estante
Abejas;Híbrida;Trashumante
Abejas;Italiana;Trashumante
Abejas;Negra Canaria;Estante
Abejas;Negra Canaria;Trashumante
Asnos;Andaluz;Animales con menos de 6 meses
Asnos;Andaluz;Animales mayores de 12 meses y menores de 36 meses
Asnos;Andaluz;Animales mayores de 6 meses y menores de 12 meses
Asnos;Andaluz;Hembras de vientre con más de 36 meses
Asnos;Andaluz;No reproductores con más de 36 meses
Asnos;Andaluz;Sementales con más de 36 meses
Asnos;Asno de las Encartaciones;No reproductores con más de 36 meses
Asnos;Catalan;Hembras de vientre con más de 36 meses
Asnos;Catalan;Sementales con más de 36 meses
Asnos;Majorera;Animales con menos de 6 meses
Asnos;Majorera;Animales mayores de 12 meses y menores de 36 meses
Asnos;Majorera;Animales mayores de 6 meses y menores de 12 meses
Asnos;Majorera;Hembras de vientre con más de 36 meses
Asnos;Majorera;No reproductores con más de 36 meses
Asnos;Majorera;Sementales con más de 36 meses
Asnos;Mallorquina;Hembras de vientre con más de 36 meses
Asnos;Mestiza;Animales con menos de 6 meses
Asnos;Mestiza;Animales mayores de 12 meses y menores de 36 meses
Asnos;Mestiza;Animales mayores de 6 meses y menores de 12 meses
Asnos;Mestiza;Hembras de vientre con más de 36 meses
Asnos;Mestiza;No reproductores con más de 36 meses
Asnos;Mestiza;Sementales con más de 36 meses
Asnos;Zamorano-Leonés;Hembras de vientre con más de 36 meses
Asnos;Zamorano-Leonés;No reproductores con más de 36 meses
Avestruces;Desconocido;Granjas de cría para carne
Avestruces;Desconocido;Granjas de producción para carne
Bovinos;Angus;Cebo
Bovinos;Angus;Reproductores macho
Bovinos;Asturiana de la Montaña;Reproductoras hembra
Bovinos;Asturiana de los Valles;Cebo
Bovinos;Asturiana de los Valles;Reproductoras hembra
Bovinos;Asturiana de los Valles;Reproductores macho
Bovinos;Blanc Blue Belge (BBB);Cebo
Bovinos;Blanc Blue Belge (BBB);Reposición
Bovinos;Blanc Blue Belge (BBB);Reproductoras hembra
Bovinos;Blonde D'Aquitaine;Cebo
Bovinos;Blonde D'Aquitaine;Reproductoras hembra
Bovinos;Blonde D'Aquitaine;Reproductores macho
Bovinos;Braunvieh;Cebo
Bovinos;Braunvieh;Reposición
Bovinos;Braunvieh;Reproductoras hembra
Bovinos;Bruna de los Pirineos;Reproductoras hembra
Bovinos;Cachena;Reproductoras hembra
Bovinos;Cachena;Reproductores macho
Bovinos;Canaria;Cebo
Bovinos;Canaria;Reposición
Bovinos;Canaria;Reproductoras hembra
Bovinos;Canaria;Reproductores macho
Bovinos;Cebú;Reproductoras hembra
Bovinos;Cebú;Reproductores macho
Bovinos;Charolaise;Cebo
Bovinos;Charolaise;Reproductoras hembra
Bovinos;Charolaise;Reproductores macho
Bovinos;Dexter;Reposición
Bovinos;Dexter;Reproductoras hembra
Bovinos;Dexter;Reproductores macho
Bovinos;Fleickvieh;Cebo
Bovinos;Fleickvieh;Reposición
Bovinos;Fleickvieh;Reproductoras hembra
Bovinos;Fleickvieh;Reproductores macho
Bovinos;Frisona Europea;Cebo
Bovinos;Frisona Europea;Reposición
Bovinos;Frisona Europea;Reproductoras hembra
Bovinos;Frisona Europea;Reproductores macho
Bovinos;Holstein Frisona;Cebo
Bovinos;Holstein Frisona;Reposición
Bovinos;Holstein Frisona;Reproductoras hembra
Bovinos;Holstein Frisona;Reproductores macho
Bovinos;Jersey;Cebo
Bovinos;Jersey;Reposición
Bovinos;Jersey;Reproductoras hembra
Bovinos;Jersey;Reproductores macho
Bovinos;Limousin;Cebo
Bovinos;Limousin;Reposición
Bovinos;Limousin;Reproductoras hembra
Bovinos;Limousin;Reproductores macho
Bovinos;Mertolenga;Cebo
Bovinos;Mertolenga;Reproductores macho
Bovinos;Mestiza;Cebo
Bovinos;Mestiza;Reposición
Bovinos;Mestiza;Reproductoras hembra
Bovinos;Mestiza;Reproductores macho
Bovinos;Montbeliarde;Cebo
Bovinos;Montbeliarde;Reposición
Bovinos;Montbeliarde;Reproductoras hembra
Bovinos;Montbeliarde;Reproductores macho
Bovinos;Normanda;Cebo
Bovinos;Normanda;Reproductoras hembra
Bovinos;Otro;Cebo
Bovinos;Otro;Reposición
Bovinos;Otro;Reproductoras hembra
Bovinos;Otro;Reproductores macho
Bovinos;Palmera;Cebo
Bovinos;Palmera;Reposición
Bovinos;Palmera;Reproductoras hembra
Bovinos;Palmera;Reproductores macho
Bovinos;Retinta;Cebo
Bovinos;Retinta;Reproductoras hembra
Bovinos;Roja Danesa;Reproductoras hembra
Bovinos;Rubia Gallega;Reproductoras hembra
Bovinos;Rubia Gallega;Reproductores macho
Bovinos;Salers;Cebo
Bovinos;Salers;Reproductoras hembra
Bovinos;Simmentahl;Cebo
Bovinos;Simmentahl;Reproductoras hembra
Bovinos;Tarentaise;Cebo
Caballos;Anglo-Árabe;Animales con menos de 6 meses
Caballos;Anglo-Árabe;Animales mayores de 12 meses y menores de 36 meses
Caballos;Anglo-Árabe;Hembras de vientre con más de 36 meses
Caballos;Anglo-Árabe;No reproductores con más de 36 meses
Caballos;Anglo-Árabe;Sementales con más de 36 meses
Caballos;Appalossa;Hembras de vientre con más de 36 meses
Caballos;Appalossa;No reproductores con más de 36 meses
Caballos;Appalossa;Sementales con más de 36 meses
Caballos;Baden-Württemberg;Hembras de vientre con más de 36 meses
Caballos;Belgian Warmblood;Hembras de vientre con más de 36 meses
Caballos;Belgian Warmblood;No reproductores con más de 36 meses
Caballos;British Sport Horse;Hembras de vientre con más de 36 meses
Caballos;British Sport Horse;No reproductores con más de 36 meses
Caballos;Caballo de Deporte Español;Animales mayores de 12 meses y menores de 36 meses
Caballos;Caballo de Deporte Español;Animales mayores de 6 meses y menores de 12 meses
Caballos;Caballo de Deporte Español;Hembras de vientre con más de 36 meses
Caballos;Caballo de Deporte Español;No reproductores con más de 36 meses
Caballos;Caballo de Deporte Español;Sementales con más de 36 meses
Caballos;Caballo de Deporte Portugués;Sementales con más de 36 meses
Caballos;Danés;Hembras de vientre con más de 36 meses
Caballos;Danés;No reproductores con más de 36 meses
Caballos;Falabella;Animales mayores de 6 meses y menores de 12 meses
Caballos;Falabella;Hembras de vientre con más de 36 meses
Caballos;Haflinger/Avelignese;No reproductores con más de 36 meses
Caballos;Hannoveriano;Animales mayores de 12 meses y menores de 36 meses
Caballos;Hannoveriano;Hembras de vientre con más de 36 meses
Caballos;Hannoveriano;No reproductores con más de 36 meses
Caballos;Hannoveriano;Sementales con más de 36 meses
Caballos;Hispano-Bretón;No reproductores con más de 36 meses
Caballos;Hispano-Árabe;Animales con menos de 6 meses
Caballos;Hispano-Árabe;Animales mayores de 12 meses y menores de 36 meses
Caballos;Hispano-Árabe;Hembras de vientre con más de 36 meses
Caballos;Hispano-Árabe;No reproductores con más de 36 meses
Caballos;Hispano-Árabe;Sementales con más de 36 meses
Caballos;Holsteiner;No reproductores con más de 36 meses
Caballos;Irish Cob;Sementales con más de 36 meses
Caballos;Koninklijk Warmbloed Paardenstamboek Nederland (KWPN);Hembras de vientre con más de 36 meses
Caballos;Koninklijk Warmbloed Paardenstamboek Nederland (KWPN);No reproductores con más de 36 meses
Caballos;Mestiza;Animales con menos de 6 meses
