isla;especie_nombre;raza_nombre;tipo_animal_ganado_nombre;censo
Tenerife;Dorada (Sparus aurata);No aplicable;Nº de adultos de engorde;3125000
Tenerife;Lubina o robalo (Dicentrarchus labrax);No aplicable;Nº de adultos de engorde;2420000
Tenerife;Gallinas;Desconocido;Granjas de producción para carne;953520
Tenerife;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;600225
Tenerife;Pulpo (Octopus vulgaris);No aplicable;Nº de huevos;500000
Tenerife;Gallinas;Desconocido;Incubadoras;208200
Tenerife;Gallinas;Desconocido;Granjas de cría para huevos (aves de explotación);147855
Tenerife;Gallinas;Desconocido;Granjas de producción para huevos. Campera;27821
Tenerife;Caprinos;Tinerfeña;Reproductoras hembra;21281
Tenerife;Gallinas;Desconocido;Granjas de producción para huevos. En suelo;18486
Tenerife;Abejas;Negra Canaria;Trashumante;10510
Tenerife;Caracoles;Desconocido;Total;10000
Tenerife;Porcinos;Mestiza;Cebo;9199
Tenerife;Conejos;Híbrido Selecto;Cebo;6350
Tenerife;Porcinos;Mestiza;Lechones;5143
Tenerife;Porcinos;Mestiza;Recría/Transición;4907
Tenerife;Abejas;Negra Canaria;Estante;4604
Tenerife;Gallinas;Desconocido;Granjas de producción para huevos. Ecológica;3497
Tenerife;Caprinos;Tinerfeña;No reproductores de 4 a 12 meses;3316
Tenerife;Caprinos;Majorera;Reproductoras hembra;3190
Tenerife;Caprinos;Tinerfeña;No reproductores menores de 4 meses;3038
Tenerife;Ovinos;Canaria de Pelo;Reproductoras hembra;2610
Tenerife;Perdices;Desconocido;Granjas de selección para caza para repoblación;2500
Tenerife;Porcinos;Mestiza;Cerdas;2138
Tenerife;Ovinos;Canaria;Reproductoras hembra;1337
Tenerife;Conejos;Híbrido Selecto;Madres;1118
Tenerife;Caprinos;Tinerfeña;Reproductores macho;905
Tenerife;Bovinos;Mestiza;Cebo;814
Tenerife;Gallinas;Desconocido;Desconocido;813
Tenerife;Bovinos;Frisona Europea;Reproductoras hembra;778
Tenerife;Bovinos;Angus;Cebo;732
Tenerife;Caprinos;Agrupación Canaria;Reproductoras hembra;671
Tenerife;Ovinos;Canaria de Pelo;No reproductores menores de 4 meses;659
Tenerife;Conejos;Híbrido Selecto;Reposición;594
Tenerife;Bovinos;Blanc Blue Belge (BBB);Cebo;557
Tenerife;Conejos;Híbrido Selecto;Reproductoras hembra;552
Tenerife;Caprinos;Majorera;No reproductores de 4 a 12 meses;527
Tenerife;Pulpo (Octopus vulgaris);No aplicable;Nº de reproductores;500
Tenerife;Pez de limón (Seriola dumerili);No aplicable;Nº de reproductores;500
Tenerife;Mero (Epinephelus marginatus);No aplicable;Nº de reproductores;500
Tenerife;Dorada (Sparus aurata);No aplicable;Nº de reproductores;500
Tenerife;Porcinos;Negra Canaria;Cebo;418
Tenerife;Abejas;Híbrida;Trashumante;405
Tenerife;Ovinos;Canaria de Pelo;No reproductores de 4 a 12 meses;403
Tenerife;Bovinos;Canaria;Reproductoras hembra;402
Tenerife;Ovinos;Canaria;No reproductores de 4 a 12 meses;320
Tenerife;Caprinos;Majorera;No reproductores menores de 4 meses;319
Tenerife;Porcinos;Mestiza;Reposición;318
Tenerife;Ovinos;Canaria;No reproductores menores de 4 meses;318
Tenerife;Bovinos;Frisona Europea;Reposición;318
Tenerife;Porcinos;Negra Canaria;Lechones;311
Tenerife;Caballos;Mestiza;No reproductores con más de 36 meses;280
Tenerife;Ovinos;Canaria de Pelo;Cebo;278
Tenerife;Caprinos;Otro;Reproductoras hembra;273
Tenerife;Porcinos;Negra Canaria;Cerdas;266
Tenerife;Caprinos;Mestiza;Reproductoras hembra;215
Tenerife;Caballos;Mestiza;Hembras de vientre con más de 36 meses;213
Tenerife;Codornices;Desconocido;Granjas de cría para carne;200
Tenerife;Bovinos;Canaria;Reproductores macho;198
Tenerife;Conejos;Neozelandés;Cebo;190
Tenerife;Bovinos;Canaria;Reposición;186
Tenerife;Caballos;Caballo de Deporte Español;No reproductores con más de 36 meses;171
Tenerife;Conejos;Híbrido Selecto;Abuelas;164
Tenerife;Conejos;Desconocido;Cebo;160
Tenerife;Abejas;Desconocido;Estante;150
Tenerife;Bovinos;Mestiza;Reproductoras hembra;146
Tenerife;Porcinos;Negra Canaria;Recría/Transición;145
Tenerife;Caprinos;Majorera;Reproductores macho;136
Tenerife;Caprinos;Agrupación Canaria;No reproductores de 4 a 12 meses;128
Tenerife;Bovinos;Frisona Europea;Cebo;126
Tenerife;Porcinos;Yorkshire;Cerdas;120
Tenerife;Conejos;Neozelandés;Reproductoras hembra;120
Tenerife;Codornices;Desconocido;Granjas de producción para huevos;115
Tenerife;Ovinos;Canaria de Pelo;Reproductores macho;110
Tenerife;Porcinos;Yorkshire;Cebo;100
Tenerife;Caprinos;Agrupación Canaria;No reproductores menores de 4 meses;98
Tenerife;Abejas;Híbrida;Estante;84
Tenerife;Porcinos;Negra Canaria;Reposición;77
Tenerife;Bovinos;Fleickvieh;Reproductoras hembra;77
Tenerife;Porcinos;Yorkshire;Lechones;75
Tenerife;Caballos;Pura Raza Española (PRE);Hembras de vientre con más de 36 meses;73
Tenerife;Porcinos;Yorkshire;Recría/Transición;70
Tenerife;Conejos;Desconocido;Abuelos;70
Tenerife;Ovinos;Canaria;Reproductores macho;68
Tenerife;Caballos;Otro;No reproductores con más de 36 meses;68
Tenerife;Caballos;Pura Raza Árabe (PRA);Hembras de vientre con más de 36 meses;65
Tenerife;Caballos;Pura Raza Española (PRE);Sementales con más de 36 meses;63
Tenerife;Mulas;Mestiza;No reproductores con más de 36 meses;53
Tenerife;Bovinos;Blonde D'Aquitaine;Reproductoras hembra;53
Tenerife;Pintadas;Desconocido;Granjas de multiplicación para huevos;50
Tenerife;Bovinos;Frisona Europea;Reproductores macho;50
Tenerife;Bovinos;Blonde D'Aquitaine;Cebo;50
Tenerife;Bovinos;Mestiza;Reposición;48
Tenerife;Porcinos;Mestiza;Verracos;44
Tenerife;Bovinos;Canaria;Cebo;44
Tenerife;Dromedarios;Desconocido;Total;42
Tenerife;Caballos;Pura Raza Española (PRE);No reproductores con más de 36 meses;42
Tenerife;Porcinos;Yorkshire;Reposición;40
Tenerife;Gallinas;Desconocido;Granjas de multiplicación para huevos;40
Tenerife;Caballos;Pura Sangre Inglés (PSI);No reproductores con más de 36 meses;39
Tenerife;Caballos;Otro;Hembras de vientre con más de 36 meses;39
Tenerife;Asnos;Majorera;Hembras de vientre con más de 36 meses;38
Tenerife;Conejos;Híbrido Selecto;Padres;37
Tenerife;Caprinos;Palmera;Reproductoras hembra;37
Tenerife;Caballos;Caballo de Deporte Español;Hembras de vientre con más de 36 meses;36
Tenerife;Porcinos;Negra Canaria;Verracos;35
Tenerife;Abejas;Buckfast;Trashumante;35
Tenerife;Conejos;Desconocido;Madres;33
Tenerife;Caprinos;Agrupación Canaria;Reproductores macho;33
Tenerife;Bovinos;Holstein Frisona;Reproductoras hembra;33
Tenerife;Caprinos;Mestiza;No reproductores menores de 4 meses;32
Tenerife;Palomas;Desconocido;Desconocido;31
Tenerife;Patos;Desconocido;Granjas de multiplicación para huevos;30
Tenerife;Conejos;Neozelandés;Madres;30
Tenerife;Caprinos;Otro;Reproductores macho;30
Tenerife;Caprinos;Otro;No reproductores de 4 a 12 meses;30
Tenerife;Caprinos;Mestiza;No reproductores de 4 a 12 meses;27
Tenerife;Caballos;Pura Raza Árabe (PRA);Sementales con más de 36 meses;24
Tenerife;Bovinos;Fleickvieh;Reposición;24
Tenerife;Pavos;Desconocido;Granjas de producción para carne;23
Tenerife;Caballos;Pura Sangre Inglés (PSI);Hembras de vientre con más de 36 meses;23
Tenerife;Caballos;Pony Shetland;No reproductores con más de 36 meses;23
Tenerife;Asnos;Majorera;Sementales con más de 36 meses;23
Tenerife;Caballos;Pura Raza Árabe (PRA);No reproductores con más de 36 meses;22
Tenerife;Caballos;Anglo-Árabe;Hembras de vientre con más de 36 meses;22
Tenerife;Asnos;Mestiza;No reproductores con más de 36 meses;22
Tenerife;Abejas;Italiana;Trashumante;22
Tenerife;Caballos;Póney Cruzado;No reproductores con más de 36 meses;21
Tenerife;Caballos;Pony Shetland;Hembras de vientre con más de 36 meses;21
Tenerife;Caballos;Mestiza;Sementales con más de 36 meses;21
Tenerife;Caballos;Anglo-Árabe;No reproductores con más de 36 meses;21
Tenerife;Bovinos;Asturiana de los Valles;Reproductoras hembra;21
Tenerife;Porcinos;Desconocido;Lechones;20
Tenerife;Patos;Desconocido;Granjas de producción para carne;20
Tenerife;Ovinos;Palmera;Reproductoras hembra;20
Tenerife;Gallinas;Desconocido;Granjas de multiplicación para carne;20
Tenerife;Caballos;Póney Cruzado;Hembras de vientre con más de 36 meses;20
Tenerife;Bovinos;Fleickvieh;Cebo;20
Tenerife;Ovinos;Mestiza;Reproductoras hembra;19
Tenerife;Bovinos;Mestiza;Reproductores macho;19
Tenerife;Asnos;Mestiza;Hembras de vientre con más de 36 meses;19
Tenerife;Caballos;Mestiza;Animales mayores de 12 meses y menores de 36 meses;18
Tenerife;Bovinos;Blanc Blue Belge (BBB);Reproductoras hembra;18
Tenerife;Mulas;Mestiza;Hembras de vientre con más de 36 meses;17
Tenerife;Conejos;Híbrido Selecto;Abuelos;17
Tenerife;Bovinos;Fleickvieh;Reproductores macho;17
Tenerife;Porcinos;Desconocido;Cerdas;16
Tenerife;Ovinos;Mestiza;No reproductores de 4 a 12 meses;16
Tenerife;Bovinos;Asturiana de los Valles;Cebo;16
Tenerife;Porcinos;Blanco Belga;Cebo;15
Tenerife;Codornices;Desconocido;Granjas de cría para huevos (aves de explotación);15
Tenerife;Caballos;Otro;Sementales con más de 36 meses;14
Tenerife;Asnos;Mestiza;Sementales con más de 36 meses;13
Tenerife;Asnos;Majorera;No reproductores con más de 36 meses;12
Tenerife;Porcinos;Pietrain;Verracos;11
Tenerife;Conejos;Híbrido Selecto;Reproductores macho;11
Tenerife;Perdices;Desconocido;Granjas de cría para carne;10
Tenerife;Caballos;Pony Shetland;Sementales con más de 36 meses;10
Tenerife;Caballos;Koninklijk Warmbloed Paardenstamboek Nederland (KWPN);No reproductores con más de 36 meses;10
Tenerife;Caballos;Hispano-Árabe;No reproductores con más de 36 meses;10
Tenerife;Caballos;Hannoveriano;No reproductores con más de 36 meses;10
Tenerife;Conejos;Californiana;Madres;9
Tenerife;Caballos;Mestiza;Animales mayores de 6 meses y menores de 12 meses;9
Tenerife;Bovinos;Simmentahl;Reproductoras hembra;9
Tenerife;Pintadas;Desconocido;Granjas de producción para carne;8
Tenerife;Patos;Desconocido;Granjas de producción para huevos;8
Tenerife;Caballos;Anglo-Árabe;Animales mayores de 12 meses y menores de 36 meses;8
Tenerife;Abejas;Desconocido;Trashumante;8
Tenerife;Palomas;Desconocido;Granjas de producción para carne;7
Tenerife;Ovinos;Carranzana;Reproductoras hembra;7
Tenerife;Ocas;Desconocido;Granjas de producción para carne;7
Tenerife;Mulas;Mestiza;Animales mayores de 12 meses y menores de 36 meses;7
Tenerife;Caprinos;Mestiza;Reproductores macho;7
Tenerife;Caballos;Otro;Animales mayores de 12 meses y menores de 36 meses;7
Tenerife;Bovinos;Limousin;Reproductores macho;7
Tenerife;Abejas;Buckfast;Estante;7
Tenerife;Porcinos;Desconocido;Verracos;6
Tenerife;Caprinos;Palmera;Reproductores macho;6
Tenerife;Caprinos;Otro;No reproductores menores de 4 meses;6
Tenerife;Bovinos;Blonde D'Aquitaine;Reproductores macho;6
Tenerife;Asnos;Majorera;Animales mayores de 12 meses y menores de 36 meses;6
Tenerife;Asnos;Andaluz;Hembras de vientre con más de 36 meses;6
Tenerife;Ovinos;Desconocido;Reproductoras hembra;5
Tenerife;Ovinos;Canaria;Cebo;5
Tenerife;Gallinas;Desconocido;Granjas de cría para carne;5
Tenerife;Conejos;Neozelandés;Padres;5
Tenerife;Caballos;Póney Cruzado;Sementales con más de 36 meses;5
