isla;municipio_nombre;especie_nombre;raza_nombre;tipo_animal_ganado_nombre;censo
Tenerife;Arona;Dorada (Sparus aurata);No aplicable;Nº de adultos de engorde;2185000
Tenerife;Arona;Lubina o robalo (Dicentrarchus labrax);No aplicable;Nº de adultos de engorde;1845000
Tenerife;Adeje;Dorada (Sparus aurata);No aplicable;Nº de adultos de engorde;940000
Tenerife;Adeje;Lubina o robalo (Dicentrarchus labrax);No aplicable;Nº de adultos de engorde;575000
Tenerife;Santa Cruz de Tenerife;Pulpo (Octopus vulgaris);No aplicable;Nº de huevos;500000
Tenerife;Arico;Gallinas;Desconocido;Granjas de producción para carne;244000
Tenerife;Güímar;Gallinas;Desconocido;Granjas de producción para carne;206020
Tenerife;Arico;Gallinas;Desconocido;Incubadoras;115200
Tenerife;San Cristóbal de La Laguna;Gallinas;Desconocido;Granjas de producción para carne;113000
Tenerife;Granadilla de Abona;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;102103
Tenerife;Güímar;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;100682
Tenerife;Tacoronte;Gallinas;Desconocido;Incubadoras;93000
Tenerife;San Juan de la Rambla;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;84840
Tenerife;Tacoronte;Gallinas;Desconocido;Granjas de producción para carne;80000
Tenerife;La Orotava;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;66900
Tenerife;San Cristóbal de La Laguna;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;60000
Tenerife;Candelaria;Gallinas;Desconocido;Granjas de producción para carne;44000
Tenerife;Arafo;Gallinas;Desconocido;Granjas de producción para carne;41000
Tenerife;San Juan de la Rambla;Gallinas;Desconocido;Granjas de producción para carne;40000
Tenerife;Candelaria;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;38295
Tenerife;Los Realejos;Gallinas;Desconocido;Granjas de producción para carne;37000
Tenerife;Arafo;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;36400
Tenerife;La Orotava;Gallinas;Desconocido;Granjas de producción para carne;36000
Tenerife;Arona;Gallinas;Desconocido;Granjas de producción para carne;35000
Tenerife;Guía de Isora;Gallinas;Desconocido;Granjas de producción para carne;32000
Tenerife;San Cristóbal de La Laguna;Gallinas;Desconocido;Granjas de cría para huevos (aves de explotación);30000
Tenerife;Tegueste;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;29200
Tenerife;Güímar;Gallinas;Desconocido;Granjas de cría para huevos (aves de explotación);28000
Tenerife;Tegueste;Gallinas;Desconocido;Granjas de producción para carne;27000
Tenerife;Arona;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;23000
Tenerife;Candelaria;Gallinas;Desconocido;Granjas de cría para huevos (aves de explotación);20000
Tenerife;Santa Úrsula;Gallinas;Desconocido;Granjas de producción para carne;18500
Tenerife;Los Realejos;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;18040
Tenerife;Santa Cruz de Tenerife;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;16128
Tenerife;Icod de los Vinos;Gallinas;Desconocido;Granjas de producción para huevos. En jaula;12029
Tenerife;Arafo;Gallinas;Desconocido;Granjas de cría para huevos (aves de explotación);12015
