explotacion_id;provincia_id;provincia_nombre;municipio_id;municipio_nombre;latitud;longitud;isla;especie_nombre;raza_nombre;tipo_animal_ganado_nombre;censo
ES380130022323;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7731528;-18.0087678;El Hierro;Abejas;Negra Canaria;Trashumante;20
ES380130022932;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7755682;-18.0033412;El Hierro;Abejas;Negra Canaria;Estante;15
ES380130024960;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7692522;-17.9521948;El Hierro;Abejas;Negra Canaria;Estante;3
ES380130025796;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7509544;-18.0001075;El Hierro;Abejas;Híbrida;Estante;5
ES380130025797;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7509667;-18.0000488;El Hierro;Abejas;Híbrida;Estante;8
ES380130025799;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7509675;-18.0000397;El Hierro;Abejas;Híbrida;Estante;6
ES380130025821;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7509388;-18.0361434;El Hierro;Abejas;Negra Canaria;Estante;15
ES380130004201;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7473748;-18.0951097;El Hierro;Asnos;Mestiza;Hembras de vientre con más de 36 meses;1
ES380130001768;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7508991;-18.0443094;El Hierro;Bovinos;Mestiza;Reproductoras hembra;3
ES380130001768;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7508991;-18.0443094;El Hierro;Bovinos;Mestiza;Reproductores macho;5
ES380130004201;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7473748;-18.0951097;El Hierro;Bovinos;Mestiza;Reproductoras hembra;5
ES380130004201;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7473748;-18.0951097;El Hierro;Bovinos;Mestiza;Reproductores macho;4
ES380130005091;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7538412;-18.1036061;El Hierro;Bovinos;Limousin;Reproductores macho;1
ES380130005091;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7538412;-18.1036061;El Hierro;Bovinos;Mestiza;Reproductoras hembra;13
ES380130005091;ES702;Santa Cruz de Tenerife;38013_2007;Frontera;27.7538412;-18.1036061;El Hierro;Bovinos;Mestiza;Reproductores macho;5
